"GeneName" "ImmunePathway"
"1" "AZGP1" "Antigen_Processing_and_Presentation"
"2" "B2M" "Antigen_Processing_and_Presentation"
"3" "CALR" "Antigen_Processing_and_Presentation"
"4" "CANX" "Antigen_Processing_and_Presentation"
"5" "CD1A" "Antigen_Processing_and_Presentation"
"6" "CD1B" "Antigen_Processing_and_Presentation"
"7" "CD1C" "Antigen_Processing_and_Presentation"
"8" "CD1D" "Antigen_Processing_and_Presentation"
"9" "CD1E" "Antigen_Processing_and_Presentation"
"10" "CD4" "Antigen_Processing_and_Presentation"
"11" "CD8A" "Antigen_Processing_and_Presentation"
"12" "CD8B" "Antigen_Processing_and_Presentation"
"13" "CD74" "Antigen_Processing_and_Presentation"
"14" "CREB1" "Antigen_Processing_and_Presentation"
"15" "CTSB" "Antigen_Processing_and_Presentation"
"16" "CTSE" "Antigen_Processing_and_Presentation"
"17" "CTSL" "Antigen_Processing_and_Presentation"
"18" "CTSS" "Antigen_Processing_and_Presentation"
"19" "FCER1G" "Antigen_Processing_and_Presentation"
"20" "FCGRT" "Antigen_Processing_and_Presentation"
"21" "PDIA3" "Antigen_Processing_and_Presentation"
"22" "HFE" "Antigen_Processing_and_Presentation"
"23" "HLA-A" "Antigen_Processing_and_Presentation"
"24" "HLA-B" "Antigen_Processing_and_Presentation"
"25" "HLA-C" "Antigen_Processing_and_Presentation"
"26" "HLA-DMA" "Antigen_Processing_and_Presentation"
"27" "HLA-DMB" "Antigen_Processing_and_Presentation"
"28" "HLA-DOA" "Antigen_Processing_and_Presentation"
"29" "HLA-DOB" "Antigen_Processing_and_Presentation"
"30" "HLA-DPA1" "Antigen_Processing_and_Presentation"
"31" "HLA-DPB1" "Antigen_Processing_and_Presentation"
"32" "HLA-DQA1" "Antigen_Processing_and_Presentation"
"33" "HLA-DQA2" "Antigen_Processing_and_Presentation"
"34" "HLA-DQB1" "Antigen_Processing_and_Presentation"
"35" "HLA-DRA" "Antigen_Processing_and_Presentation"
"36" "HLA-DRB1" "Antigen_Processing_and_Presentation"
"37" "HLA-DRB3" "Antigen_Processing_and_Presentation"
"38" "HLA-DRB4" "Antigen_Processing_and_Presentation"
"39" "HLA-DRB5" "Antigen_Processing_and_Presentation"
"40" "HLA-E" "Antigen_Processing_and_Presentation"
"41" "HLA-F" "Antigen_Processing_and_Presentation"
"42" "HLA-G" "Antigen_Processing_and_Presentation"
"43" "HLA-H" "Antigen_Processing_and_Presentation"
"44" "MR1" "Antigen_Processing_and_Presentation"
"45" "HSPA1A" "Antigen_Processing_and_Presentation"
"46" "HSPA1B" "Antigen_Processing_and_Presentation"
"47" "HSPA1L" "Antigen_Processing_and_Presentation"
"48" "HSPA2" "Antigen_Processing_and_Presentation"
"49" "HSPA4" "Antigen_Processing_and_Presentation"
"50" "HSPA5" "Antigen_Processing_and_Presentation"
"51" "HSPA6" "Antigen_Processing_and_Presentation"
"52" "HSPA8" "Antigen_Processing_and_Presentation"
"53" "HSP90AA1" "Antigen_Processing_and_Presentation"
"54" "HSP90AB1" "Antigen_Processing_and_Presentation"
"55" "ICAM1" "Antigen_Processing_and_Presentation"
"56" "IFNA1" "Antigen_Processing_and_Presentation"
"57" "IFNA2" "Antigen_Processing_and_Presentation"
"58" "IFNA4" "Antigen_Processing_and_Presentation"
